Id,Label,timeset,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality,pageranks
SubMarceloSC,SubMarceloSC,,0,1,1,0,1,1,1,1,1,0,46,0,2395,0,0,0.00009
ClaudioGonsalv6,ClaudioGonsalv6,,0,1,1,0,1,1,1,1,1,0,46,0,2396,0,0,0.00009
Amarild57864008,Amarild57864008,,0,1,1,0,1,1,1,1,1,0,49,0,2397,0,0,0.00009
Solange10136224,Solange10136224,,0,2,2,0,2,2,1,1,1,0,106,0,2398,0,0,0.00009
Edson71079775,Edson71079775,,0,1,1,0,1,1,1,1,1,0,46,0,2399,0,0,0.00009
baxulas,baxulas,,0,1,1,0,1,1,1,1,1,0,46,0,2400,0,0,0.00009
JONATASBOMBEIRO,JONATASBOMBEIRO,,0,1,1,0,1,1,1,1,1,0,46,0,2401,0,0,0.00009
BGustavSantista,BGustavSantista,,0,1,1,0,1,1,1,1,1,0,46,0,2402,0,0,0.00009
souza_gualberto,souza_gualberto,,0,1,1,0,1,1,1,1,1,0,46,0,2403,0,0,0.00009
luizc38paixao,luizc38paixao,,0,1,1,0,1,1,1,1,1,0,46,0,2404,0,0,0.00009
JeanFabricioCo1,JeanFabricioCo1,,0,1,1,0,1,1,1,1,1,0,46,0,2405,0,0,0.00009
emerson91501907,emerson91501907,,0,1,1,0,1,1,1,1,1,0,46,0,2406,0,0,0.00009
Ilka04489722,Ilka04489722,,0,1,1,0,1,1,1,1,1,0,46,0,2407,0,0,0.00009
AnaBeat34202412,AnaBeat34202412,,0,1,1,0,1,1,1,1,1,0,46,0,2408,0,0,0.00009
RafaelMialski,RafaelMialski,,0,1,1,0,1,1,1,1,1,0,46,0,2409,0,0,0.00009
rodiasfaria,rodiasfaria,,0,1,1,0,2,2,1,1,1,0,46,0,2410,0,0,0.00009
40Oruam,40Oruam,,0,1,1,0,1,1,1,1,1,0,46,0,2411,0,0,0.00009
chess531,chess531,,0,1,1,0,2,2,1,1,1,0,46,0,2412,0,0,0.00009
wilkersonrocha,wilkersonrocha,,0,1,1,0,1,1,1,1,1,0,46,0,2413,0,0,0.00009
Vitor30660716,Vitor30660716,,0,1,1,0,1,1,1,1,1,0,46,0,2414,0,0,0.00009
PatrickFolena,PatrickFolena,,0,1,1,0,1,1,1,1,1,0,46,0,2415,0,0,0.00009
frfontanella,frfontanella,,0,1,1,0,1,1,1,1,1,0,46,0,2416,0,0,0.00009
Kantunes3,Kantunes3,,0,1,1,0,2,2,1,1,1,0,46,0,2417,0,0,0.00009
AbelardoAMJr,AbelardoAMJr,,0,1,1,0,2,2,1,1,1,0,46,0,2418,0,0,0.00009
Suze_Prisco,Suze_Prisco,,0,1,1,0,1,1,1,1,1,0,46,0,2419,0,0,0.00009
LumaMachado5,LumaMachado5,,0,1,1,0,1,1,1,1,1,0,46,0,2420,0,0,0.00009
ValdirenePerei,ValdirenePerei,,0,1,1,0,1,1,1,1,1,0,46,0,2421,0,0,0.00009
telmamenezes,telmamenezes,,0,1,1,0,1,1,1,1,1,0,46,0,2422,0,0,0.00009
paesgobol,paesgobol,,0,1,1,0,2,2,1,1,1,0,46,0,2423,0,0,0.00009
AntnioEdvandel1,AntnioEdvandel1,,0,1,1,0,1,1,1,1,1,0,46,0,2424,0,0,0.00009
rogeriopontes7,rogeriopontes7,,0,1,1,0,1,1,1,1,1,0,46,0,2425,0,0,0.00009
Squerdaglia,Squerdaglia,,0,1,1,0,1,1,1,1,1,0,46,0,2426,0,0,0.00009
Cesar_bTzuR,Cesar_bTzuR,,0,1,1,0,1,1,1,1,1,0,46,0,2427,0,0,0.00009
AnthonyEloahThe,AnthonyEloahThe,,0,1,1,0,1,1,1,1,1,0,46,0,2428,0,0,0.00009
MackPinheiro,MackPinheiro,,0,1,1,0,1,1,1,1,1,0,46,0,2429,0,0,0.00009
AlexandreJosCo2,AlexandreJosCo2,,0,1,1,0,1,1,1,1,1,0,46,0,2430,0,0,0.00009
YamYamai,YamYamai,,0,1,1,0,1,1,1,1,1,0,46,0,2431,0,0,0.00009
nortonson,nortonson,,0,1,1,0,2,2,1,1,1,0,46,0,2432,0,0,0.00009
AnaCludiaCorre6,AnaCludiaCorre6,,0,1,1,0,2,2,1,1,1,0,46,0,2433,0,0,0.00009
gelyfonseca,gelyfonseca,,0,1,1,0,1,1,1,1,1,0,46,0,2434,0,0,0.00009
Lucianozoran,Lucianozoran,,0,1,1,0,1,1,1,1,1,0,46,0,2435,0,0,0.00009
Marcelo42426387,Marcelo42426387,,0,1,1,0,1,1,1,1,1,0,46,0,2436,0,0,0.00009
Sdrinha,Sdrinha,,0,1,1,0,1,1,1,1,1,0,46,0,2437,0,0,0.00009
Lizluz18,Lizluz18,,0,2,2,0,2,2,2,0.75,0.833333,0,79,0,2438,0,0,0.00009
etvancn,etvancn,,0,1,1,0,1,1,1,1,1,0,46,0,2439,0,0,0.00009
LevideSouza1,LevideSouza1,,0,1,1,0,1,1,1,1,1,0,46,0,2440,0,0,0.00009
valdecilima50,valdecilima50,,0,1,1,0,1,1,1,1,1,0,46,0,2441,0,0,0.00009
