User,Location,Tweeter,Mentions
simplicio_paulo,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
ecstfa,,"b'@GuilhermeBoulos @felipeneto E o laranjal Boulos, vai explicar? Ou vai dizer que no houve desvio de verba para empresas fantasmas?'",GuilhermeBoulos
OliveiraMyrtes,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Projeto223,,"b'@erikakokay Do Laranjal do Boulos voc no fala no  nobre Deputada? Ou seja: No est a para defender o povo, seja de quem for ! Est a para defender o seu e o dos seus comparsas. Certinha...'",erikakokay
Matheus63764714,,"b'""The Boulos""\n  Laranjal       \n#BoulosNunca\n#BoulosNao\n#LaranjalDoBoulos \nInvaso De Imvel https://t.co/gTgvy17uUH'",
DanielamaralMa3,,b'@Yuh17 @Cristia33844595 Laranjal do boulos https://t.co/0xnvNQCk2r',Yuh17
olivierleth2018,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
DanielamaralMa3,,b'@Yuh17 @RuanSou93350359 Laranjal do boulos',Yuh17
Matheus63764714,,"b'""The Boulos""\nLaranjal \n                 Do Boulos\n#BoulosNao\n#LaranjalDoBoulos \n#BoulosNunca https://t.co/DvY9NYLNJh'",
BunkerConserva,,b'@PaolaCarosella @mariabopp @GuilhermeBoulos Faz um boulos de laranja fresquinha do laranjal desse invasor...',PaolaCarosella
milicianorj,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
lixolandia20,,"b'ser servido ""boulos fecal"" com suco do ""laranjal""... https://t.co/B6XTxLtlop'",
joaoAl31,,"b'@Yuh17 @Cristia33844595 Laranjal do boulos,ladro!'",Yuh17
joaoAl31,,b'@Yuh17 Laranjal do boulos!',Yuh17
JussaraGama3,,b'RT @oswaldojor: Oswaldo Eustquio est sendo conduzido  Superintendncia da Polcia Federal com mandado de priso expedido pelo ministro A',oswaldojor
Joanita26845211,,b'RT @oswaldojor: Oswaldo Eustquio est sendo conduzido  Superintendncia da Polcia Federal com mandado de priso expedido pelo ministro A',oswaldojor
gil29737955,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
AgnaldodaSC,,"b""@UOL 'Manifedto antirracista de apoio a Boulos...' \nQue malabarismo para defender o laranjal do Boulos""",UOL
MarcoARibeiro9,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
Fran38Gabriel,,"b'RT @Madruga004: Segundo turno, farei assim, entre dois vermes.\n\nGerente deCemitrio, Covas.\nGerente do Laranjal, Boulos.\n\nPrefiro essa op'",Madruga004
Esousa84901536,,"b""RT @oswaldojor: A PGR e o STF ignoraram os atos Antidemocrticos de Felipe Neto e Manuela D'villa ao incitar vandalismo no Carrefour. Tamb""",oswaldojor
rheneaa,,"b'@CarlaZambelli38 Orra, at que enfim, chega de vdeos e comece a pedir mais investigaes, e sobre o laranjal do boulos?'",CarlaZambelli38
familiadestro,,b'RT @oswaldojor: Oswaldo Eustquio est sendo conduzido  Superintendncia da Polcia Federal com mandado de priso expedido pelo ministro A',oswaldojor
WilbertAilton,,"b'RT @Madruga004: Segundo turno, farei assim, entre dois vermes.\n\nGerente deCemitrio, Covas.\nGerente do Laranjal, Boulos.\n\nPrefiro essa op'",Madruga004
